locus_tag	ftype	length_bp	gene	EC_number	COG	product
ALLENOCK_01579	CDS	705				hypothetical protein
ALLENOCK_01580	CDS	1563				hypothetical protein
ALLENOCK_01581	CDS	363				hypothetical protein
ALLENOCK_01582	CDS	204				hypothetical protein
ALLENOCK_01583	tRNA	82				tRNA-Leu(cag)
ALLENOCK_01584	CDS	705	cmk_1	2.7.4.25	COG0283	Cytidylate kinase
ALLENOCK_01585	CDS	867	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
ALLENOCK_01586	CDS	525		3.1.-.-	COG0322	Putative bifunctional exonuclease/endonuclease protein
ALLENOCK_01587	CDS	531				hypothetical protein
ALLENOCK_01588	CDS	969				hypothetical protein
ALLENOCK_01589	CDS	825	dtd3_2	3.1.1.96		D-aminoacyl-tRNA deacylase
ALLENOCK_01590	CDS	1191	mshA_4	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
ALLENOCK_01591	CDS	1167				hypothetical protein
ALLENOCK_01592	CDS	759	kpsU	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
ALLENOCK_01593	CDS	1290				hypothetical protein
ALLENOCK_01594	CDS	1191				hypothetical protein
ALLENOCK_01595	CDS	1683				hypothetical protein
ALLENOCK_01596	tRNA	75				tRNA-Pro(ggg)
ALLENOCK_01597	tRNA	85				tRNA-Leu(gag)
ALLENOCK_01598	tRNA	74				tRNA-Gly(gcc)
ALLENOCK_01599	tRNA	75				tRNA-Pro(ggg)
ALLENOCK_01600	tRNA	85				tRNA-Leu(gag)
ALLENOCK_01601	CDS	429				hypothetical protein
ALLENOCK_01602	CDS	249				hypothetical protein
ALLENOCK_01603	CDS	309				hypothetical protein
ALLENOCK_01604	CDS	312				hypothetical protein
ALLENOCK_01605	CDS	1863				hypothetical protein
ALLENOCK_01606	CDS	825				hypothetical protein
ALLENOCK_01607	CDS	615				hypothetical protein
ALLENOCK_01608	CDS	1584		3.1.6.-	COG3119	N-acetylglucosamine-6-O-sulfatase
ALLENOCK_01609	CDS	2259				hypothetical protein
ALLENOCK_01610	CDS	756	lutA		COG0247	Lactate utilization protein A
ALLENOCK_01611	CDS	1389	lutB			Lactate utilization protein B
ALLENOCK_01612	CDS	663				hypothetical protein
ALLENOCK_01613	CDS	150				hypothetical protein
ALLENOCK_01614	CDS	189	rpmG2			50S ribosomal protein L33 2
ALLENOCK_01615	CDS	261	rpmB		COG0227	50S ribosomal protein L28
ALLENOCK_01616	CDS	690				queuosine precursor transporter
ALLENOCK_01617	CDS	816				hypothetical protein
ALLENOCK_01618	CDS	438	tolR			Tol-Pal system protein TolR
ALLENOCK_01619	CDS	834	tolQ_2			Tol-Pal system protein TolQ
ALLENOCK_01620	CDS	714	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
ALLENOCK_01621	CDS	669				hypothetical protein
ALLENOCK_01622	CDS	873	nadK	2.7.1.23		NAD kinase
ALLENOCK_01623	CDS	1992	egtB_3	1.14.99.50		Hercynine oxygenase
ALLENOCK_01624	CDS	1440	nrgA			Ammonium transporter
ALLENOCK_01625	CDS	2529	priA	3.6.4.-		primosomal protein N'
ALLENOCK_01626	CDS	2679				hypothetical protein
ALLENOCK_01627	CDS	1833				hypothetical protein
ALLENOCK_01628	CDS	948				hypothetical protein
ALLENOCK_01629	CDS	978	dagK	2.7.1.107	COG1597	Diacylglycerol kinase
ALLENOCK_01630	CDS	1944				hypothetical protein
ALLENOCK_01631	CDS	1248		2.4.1.11	COG0438	Glycogen synthase
ALLENOCK_01632	CDS	1503				hypothetical protein
ALLENOCK_01633	CDS	1863	rlhA		COG0826	23S rRNA 5-hydroxycytidine synthase
ALLENOCK_01634	CDS	1404	modF		COG1119	ABC transporter ATP-binding protein ModF
ALLENOCK_01635	CDS	1092	nahK	2.7.1.162		N-acetylhexosamine 1-kinase
ALLENOCK_01636	CDS	1104	pdxA2	1.1.1.408	COG1995	D-threonate 4-phosphate dehydrogenase
ALLENOCK_01637	CDS	711				hypothetical protein
ALLENOCK_01638	CDS	870				hypothetical protein
ALLENOCK_01639	CDS	969				hypothetical protein
ALLENOCK_01640	CDS	750	gph_3	3.1.3.18		Phosphoglycolate phosphatase
ALLENOCK_01641	CDS	1308				hypothetical protein
ALLENOCK_01642	CDS	174				hypothetical protein
ALLENOCK_01643	CDS	2412				hypothetical protein
ALLENOCK_01644	CDS	1143				hypothetical protein
ALLENOCK_01645	CDS	867				hypothetical protein
ALLENOCK_01646	CDS	1458	gltD_2	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
ALLENOCK_01647	CDS	783			COG0543	Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit 
ALLENOCK_01648	CDS	1971				hypothetical protein
ALLENOCK_01649	CDS	1113				hypothetical protein
ALLENOCK_01650	CDS	1434				hypothetical protein
ALLENOCK_01651	CDS	618				hypothetical protein
ALLENOCK_01652	CDS	567				hypothetical protein
ALLENOCK_01653	CDS	804	soj_1	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
ALLENOCK_01654	CDS	897	parB		COG1475	putative chromosome-partitioning protein ParB
ALLENOCK_01655	CDS	918				hypothetical protein
ALLENOCK_01656	CDS	1644				hypothetical protein
ALLENOCK_01657	CDS	3282	tri1	3.4.21.-	COG0793	Tricorn protease 
ALLENOCK_01658	CDS	504	sigR		COG1595	ECF RNA polymerase sigma factor SigR
ALLENOCK_01659	CDS	549				hypothetical protein
ALLENOCK_01660	tRNA	88				tRNA-Ser(tga)
ALLENOCK_01661	tRNA	88				tRNA-Ser(cga)
ALLENOCK_01662	CDS	687				hypothetical protein
ALLENOCK_01663	CDS	774				hypothetical protein
ALLENOCK_01664	CDS	1080	kdsA_1	2.5.1.55		2-dehydro-3-deoxyphosphooctonate aldolase
ALLENOCK_01665	CDS	1173	dapL_1	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
ALLENOCK_01666	CDS	885	pheA		COG0077	Bifunctional chorismate mutase/prephenate dehydratase
ALLENOCK_01667	tRNA	74				tRNA-Thr(cgt)
ALLENOCK_01668	CDS	351				hypothetical protein
ALLENOCK_01669	CDS	339				hypothetical protein
ALLENOCK_01670	CDS	243				hypothetical protein
ALLENOCK_01671	CDS	663				hypothetical protein
ALLENOCK_01672	CDS	1446				hypothetical protein
ALLENOCK_01673	CDS	579				hypothetical protein
ALLENOCK_01674	CDS	207				hypothetical protein
ALLENOCK_01675	CDS	447				hypothetical protein
ALLENOCK_01676	CDS	927				hypothetical protein
ALLENOCK_01677	CDS	396				hypothetical protein
ALLENOCK_01678	CDS	885				hypothetical protein
ALLENOCK_01679	CDS	831				hypothetical protein
ALLENOCK_01680	CDS	360				hypothetical protein
ALLENOCK_01681	CDS	1707				hypothetical protein
ALLENOCK_01682	CDS	489				hypothetical protein
ALLENOCK_01683	CDS	189				hypothetical protein
ALLENOCK_01684	CDS	219				hypothetical protein
ALLENOCK_01685	CDS	165				hypothetical protein
ALLENOCK_01686	CDS	222				hypothetical protein
ALLENOCK_01687	CDS	186				hypothetical protein
ALLENOCK_01688	CDS	189				hypothetical protein
ALLENOCK_01689	CDS	915				hypothetical protein
ALLENOCK_01690	CDS	288				hypothetical protein
ALLENOCK_01691	CDS	405				hypothetical protein
ALLENOCK_01692	CDS	444				hypothetical protein
ALLENOCK_01693	CDS	2871				hypothetical protein
ALLENOCK_01694	CDS	525				hypothetical protein
ALLENOCK_01695	CDS	552				hypothetical protein
ALLENOCK_01696	CDS	453				hypothetical protein
ALLENOCK_01697	CDS	576				hypothetical protein
ALLENOCK_01698	CDS	624				hypothetical protein
ALLENOCK_01699	CDS	489				hypothetical protein
ALLENOCK_01700	CDS	1299				hypothetical protein
ALLENOCK_01701	CDS	324				hypothetical protein
ALLENOCK_01702	CDS	1641				hypothetical protein
ALLENOCK_01703	CDS	444				hypothetical protein
ALLENOCK_01704	CDS	492				hypothetical protein
ALLENOCK_01705	CDS	2727				hypothetical protein
ALLENOCK_01706	CDS	1161				hypothetical protein
ALLENOCK_01707	CDS	1449				hypothetical protein
ALLENOCK_01708	CDS	633				hypothetical protein
ALLENOCK_01709	CDS	558				hypothetical protein
ALLENOCK_01710	CDS	1446				hypothetical protein
ALLENOCK_01711	CDS	789				hypothetical protein
ALLENOCK_01712	CDS	432				hypothetical protein
ALLENOCK_01713	CDS	498				hypothetical protein
ALLENOCK_01714	CDS	2094				hypothetical protein
ALLENOCK_01715	CDS	402				hypothetical protein
ALLENOCK_01716	CDS	261				hypothetical protein
ALLENOCK_01717	CDS	1986				hypothetical protein
ALLENOCK_01718	CDS	11301				hypothetical protein
ALLENOCK_01719	CDS	6084				hypothetical protein
ALLENOCK_01720	CDS	1143				hypothetical protein
ALLENOCK_01721	CDS	498				hypothetical protein
ALLENOCK_01722	CDS	393				hypothetical protein
ALLENOCK_01723	CDS	1152	xerC_4			Tyrosine recombinase XerC
ALLENOCK_01724	CDS	600				hypothetical protein
ALLENOCK_01725	CDS	594				hypothetical protein
ALLENOCK_01726	CDS	477				hypothetical protein
ALLENOCK_01727	CDS	243				hypothetical protein
ALLENOCK_01728	CDS	3354				hypothetical protein
ALLENOCK_01729	CDS	498				hypothetical protein
ALLENOCK_01730	CDS	1392				hypothetical protein
ALLENOCK_01731	CDS	7572				hypothetical protein
ALLENOCK_01732	CDS	1020				hypothetical protein
ALLENOCK_01733	CDS	486				hypothetical protein
ALLENOCK_01734	CDS	2808				hypothetical protein
ALLENOCK_01735	CDS	852				hypothetical protein
ALLENOCK_01736	CDS	2028	lapB			Lipopolysaccharide assembly protein B
ALLENOCK_01737	CDS	1284		1.6.99.-	COG1252	NADH dehydrogenase-like protein
ALLENOCK_01738	CDS	1443				hypothetical protein
ALLENOCK_01739	CDS	1437	pepP	3.4.11.9	COG0006	Xaa-Pro aminopeptidase
ALLENOCK_01740	CDS	2211				hypothetical protein
ALLENOCK_01741	CDS	3117				hypothetical protein
ALLENOCK_01742	CDS	783				hypothetical protein
ALLENOCK_01743	CDS	741			COG0217	putative transcriptional regulatory protein
ALLENOCK_01744	CDS	2463	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
ALLENOCK_01745	tRNA	76				tRNA-Gly(ccc)
ALLENOCK_01746	CDS	168				hypothetical protein
ALLENOCK_01747	CDS	765	lpxH	3.6.1.54	COG2908	UDP-2,3-diacylglucosamine hydrolase
ALLENOCK_01748	CDS	321	sufT			Fe-S protein maturation auxiliary factor SufT
ALLENOCK_01749	CDS	2019	ligA_2	6.5.1.2		DNA ligase
ALLENOCK_01750	CDS	972	manA	5.3.1.8	COG1482	Mannose-6-phosphate isomerase ManA
ALLENOCK_01751	CDS	144				hypothetical protein
ALLENOCK_01752	CDS	786	lpxA_2	2.3.1.129		Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
ALLENOCK_01753	CDS	1392	oprM_1		COG1538	Outer membrane protein OprM
ALLENOCK_01754	CDS	3369	ttgB		COG0841	putative efflux pump membrane transporter TtgB
ALLENOCK_01755	CDS	1182	mdtE_1			Multidrug resistance protein MdtE
ALLENOCK_01756	CDS	597				hypothetical protein
ALLENOCK_01757	CDS	1386	wcaJ	2.7.8.31	COG2148	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
ALLENOCK_01758	CDS	1926				hypothetical protein
ALLENOCK_01759	CDS	1245		3.4.24.-	COG0612	putative zinc protease
ALLENOCK_01760	CDS	867				Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase
ALLENOCK_01761	CDS	378				hypothetical protein
ALLENOCK_01762	CDS	660	cmk_2	2.7.4.25		Cytidylate kinase
ALLENOCK_01763	CDS	627				hypothetical protein
ALLENOCK_01764	CDS	171				Ferredoxin
ALLENOCK_01765	CDS	1002	fda	4.1.2.13	COG0191	Fructose-bisphosphate aldolase
ALLENOCK_01766	CDS	1629				hypothetical protein
ALLENOCK_01767	CDS	1968	cpdA_5	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
ALLENOCK_01768	CDS	3270	susC_5			TonB-dependent receptor SusC
ALLENOCK_01769	CDS	1785				hypothetical protein
ALLENOCK_01770	CDS	1512				hypothetical protein
ALLENOCK_01771	CDS	342				hypothetical protein
ALLENOCK_01772	CDS	795				hypothetical protein
ALLENOCK_01773	CDS	636	lspA	3.4.23.36		Lipoprotein signal peptidase
ALLENOCK_01774	CDS	384	dksA			RNA polymerase-binding transcription factor DksA
ALLENOCK_01775	CDS	3555	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
ALLENOCK_01776	CDS	918	kduI	5.3.1.17		4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
ALLENOCK_01777	CDS	1401	gatC		COG3775	PTS system galactitol-specific EIIC component
ALLENOCK_01778	CDS	1239				hypothetical protein
ALLENOCK_01779	CDS	795	kduD	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
ALLENOCK_01780	CDS	1080	argE	3.5.1.16	COG0624	Acetylornithine deacetylase
ALLENOCK_01781	CDS	1551	degQ	3.4.21.107	COG0265	Periplasmic pH-dependent serine endoprotease DegQ
ALLENOCK_01782	CDS	861	sigA			RNA polymerase sigma factor SigA
ALLENOCK_01783	CDS	789	glpF		COG0580	Glycerol uptake facilitator protein
ALLENOCK_01784	CDS	1506	glpK	2.7.1.30	COG0554	Glycerol kinase
ALLENOCK_01785	CDS	1998	nadE	6.3.5.1	COG0171	Glutamine-dependent NAD(+) synthetase
ALLENOCK_01786	CDS	876				hypothetical protein
ALLENOCK_01787	CDS	795				hypothetical protein
ALLENOCK_01788	CDS	1401	alsT		COG1115	Amino-acid carrier protein AlsT
ALLENOCK_01789	CDS	4218				hypothetical protein
ALLENOCK_01790	CDS	537	algU_3		COG1595	RNA polymerase sigma-H factor
ALLENOCK_01791	CDS	960				hypothetical protein
ALLENOCK_01792	CDS	1533				hypothetical protein
ALLENOCK_01793	CDS	1869				hypothetical protein
ALLENOCK_01794	CDS	2067				hypothetical protein
ALLENOCK_01795	CDS	1809	uidA	3.2.1.31	COG3250	Beta-glucuronidase
ALLENOCK_01796	CDS	2973				hypothetical protein
ALLENOCK_01797	CDS	2460	nagZ_2	3.2.1.52		Beta-hexosaminidase
ALLENOCK_01798	CDS	2508		3.2.1.23	COG3250	Beta-galactosidase BoGH2A
ALLENOCK_01799	CDS	612	maf	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
ALLENOCK_01800	CDS	2553				hypothetical protein
ALLENOCK_01801	CDS	525	kdsC	3.1.3.45	COG1778	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
ALLENOCK_01802	CDS	816				hypothetical protein
ALLENOCK_01803	CDS	537	nfrA1_2	1.5.1.38	COG0778	FMN reductase (NADPH)
ALLENOCK_01804	CDS	1008				hypothetical protein
ALLENOCK_01805	CDS	630				hypothetical protein
ALLENOCK_01806	CDS	759				hypothetical protein
ALLENOCK_01807	CDS	2358				hypothetical protein
ALLENOCK_01808	CDS	660				hypothetical protein
ALLENOCK_01809	CDS	744				hypothetical protein
ALLENOCK_01810	CDS	1707				hypothetical protein
ALLENOCK_01811	CDS	2802	uvrA_2		COG0178	UvrABC system protein A
ALLENOCK_01812	CDS	1446	nusB			Transcription antitermination protein NusB
ALLENOCK_01813	CDS	402				hypothetical protein
ALLENOCK_01814	CDS	996				hypothetical protein
ALLENOCK_01815	CDS	570	coaE	2.7.1.24		Dephospho-CoA kinase
ALLENOCK_01816	CDS	624				hypothetical protein
ALLENOCK_01817	CDS	558				hypothetical protein
ALLENOCK_01818	CDS	489				hypothetical protein
ALLENOCK_01819	CDS	2202	agaA_1	3.2.1.22		Alpha-galactosidase AgaA
ALLENOCK_01820	CDS	1731	yfkN_1		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
ALLENOCK_01821	CDS	954	ykoT	2.4.-.-		putative glycosyltransferase YkoT
ALLENOCK_01822	CDS	1482	proS	6.1.1.15	COG0442	Proline--tRNA ligase
ALLENOCK_01823	CDS	156	rpmH		COG0230	50S ribosomal protein L34
ALLENOCK_01824	CDS	657				hypothetical protein
ALLENOCK_01825	CDS	432	hslR		COG1188	Heat shock protein 15
ALLENOCK_01826	CDS	624	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
ALLENOCK_01827	CDS	645	ctc		COG1825	General stress protein CTC
ALLENOCK_01828	CDS	609				hypothetical protein
ALLENOCK_01829	CDS	807	loiP	3.4.24.-	COG0501	Metalloprotease LoiP
ALLENOCK_01830	CDS	3246				hypothetical protein
ALLENOCK_01831	CDS	1431				hypothetical protein
ALLENOCK_01832	CDS	978				hypothetical protein
ALLENOCK_01833	CDS	783				hypothetical protein
ALLENOCK_01834	tRNA	74				tRNA-Cys(gca)
ALLENOCK_01835	CDS	723				hypothetical protein
ALLENOCK_01836	CDS	1320				hypothetical protein
ALLENOCK_01837	CDS	759	trmB	2.1.1.33		tRNA (guanine-N(7)-)-methyltransferase
ALLENOCK_01838	CDS	1110				Iron-sulfur cluster carrier protein
ALLENOCK_01839	CDS	1323				hypothetical protein
ALLENOCK_01840	CDS	2079				hypothetical protein
ALLENOCK_01841	CDS	321				hypothetical protein
ALLENOCK_01842	CDS	1281	ampG_2		COG0477	Anhydromuropeptide permease
ALLENOCK_01843	CDS	4386	lacZ_2	3.2.1.23		Beta-galactosidase
ALLENOCK_01844	CDS	3723	lacZ_3	3.2.1.23		Beta-galactosidase
ALLENOCK_01845	CDS	2295				hypothetical protein
ALLENOCK_01846	CDS	825				hypothetical protein
ALLENOCK_01847	CDS	1065				hypothetical protein
ALLENOCK_01848	CDS	378				hypothetical protein
ALLENOCK_01849	CDS	138				hypothetical protein
ALLENOCK_01850	CDS	729				hypothetical protein
ALLENOCK_01851	CDS	990	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
ALLENOCK_01852	CDS	1347		3.4.24.-	COG0612	putative zinc protease
ALLENOCK_01853	CDS	354	rplS		COG0335	50S ribosomal protein L19
ALLENOCK_01854	CDS	285				hypothetical protein
ALLENOCK_01855	CDS	165				hypothetical protein
ALLENOCK_01856	CDS	384				hypothetical protein
ALLENOCK_01857	CDS	555	yajL_1	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
ALLENOCK_01858	CDS	1083				hypothetical protein
ALLENOCK_01859	CDS	930				hypothetical protein
ALLENOCK_01860	CDS	747				hypothetical protein
ALLENOCK_01861	CDS	543				hypothetical protein
ALLENOCK_01862	CDS	1671	acsA	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
ALLENOCK_01863	CDS	1113	proB	2.7.2.11	COG0263	Glutamate 5-kinase
ALLENOCK_01864	CDS	570				hypothetical protein
ALLENOCK_01865	CDS	1248	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
ALLENOCK_01866	CDS	738				hypothetical protein
ALLENOCK_01867	CDS	1497	xylB	2.7.1.17	COG1070	Xylulose kinase
ALLENOCK_01868	CDS	1317	xylA	5.3.1.5	COG2115	Xylose isomerase
ALLENOCK_01869	CDS	1521	xylE			D-xylose-proton symporter
ALLENOCK_01870	CDS	1299				hypothetical protein
ALLENOCK_01871	CDS	1182	ce	5.1.3.11		Cellobiose 2-epimerase
ALLENOCK_01872	CDS	918	nanA_2	4.1.3.3	COG0329	N-acetylneuraminate lyase
ALLENOCK_01873	CDS	1302				hypothetical protein
ALLENOCK_01874	CDS	144				hypothetical protein
ALLENOCK_01875	CDS	4851				hypothetical protein
ALLENOCK_01876	CDS	2283	bamA_3			Outer membrane protein assembly factor BamA
ALLENOCK_01877	CDS	2700				hypothetical protein
ALLENOCK_01878	CDS	1494	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
ALLENOCK_01879	CDS	711	phoB		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
ALLENOCK_01880	CDS	135				hypothetical protein
ALLENOCK_01881	CDS	117				hypothetical protein
ALLENOCK_01882	CDS	819				hypothetical protein
ALLENOCK_01883	CDS	1926	srmB	3.6.4.13		ATP-dependent RNA helicase SrmB
ALLENOCK_01884	CDS	1731	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
ALLENOCK_01885	CDS	1176				hypothetical protein
ALLENOCK_01886	CDS	1143				hypothetical protein
ALLENOCK_01887	CDS	1425	cca	2.7.7.72		CCA-adding enzyme
ALLENOCK_01888	CDS	1182	pepQ	3.4.13.9	COG0006	Xaa-Pro dipeptidase
ALLENOCK_01889	CDS	468				hypothetical protein
ALLENOCK_01890	CDS	1455				hypothetical protein
ALLENOCK_01891	CDS	1545	rny_2	3.1.-.-	COG1418	Ribonuclease Y
ALLENOCK_01892	CDS	297				hypothetical protein
ALLENOCK_01893	CDS	294				hypothetical protein
ALLENOCK_01894	CDS	1413	clsA	2.7.8.-	COG1502	Major cardiolipin synthase ClsA
ALLENOCK_01895	CDS	459	rplI		COG0359	50S ribosomal protein L9
ALLENOCK_01896	CDS	270				hypothetical protein
ALLENOCK_01897	CDS	372				hypothetical protein
ALLENOCK_01898	CDS	711				hypothetical protein
ALLENOCK_01899	CDS	1896				hypothetical protein
ALLENOCK_01900	CDS	1986				hypothetical protein
ALLENOCK_01901	CDS	1038	bioB	2.8.1.6	COG0502	Biotin synthase
ALLENOCK_01902	CDS	735				hypothetical protein
ALLENOCK_01903	CDS	1098	rluD_2	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
ALLENOCK_01904	CDS	1206				hypothetical protein
ALLENOCK_01905	CDS	1227	cpdA_6	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
ALLENOCK_01906	CDS	2154	yhgF		COG2183	Protein YhgF
ALLENOCK_01907	CDS	417				hypothetical protein
ALLENOCK_01908	CDS	1239				hypothetical protein
ALLENOCK_01909	CDS	882	lacX			Protein LacX, plasmid
ALLENOCK_01910	CDS	402				hypothetical protein
ALLENOCK_01911	CDS	480				hypothetical protein
ALLENOCK_01912	CDS	363				hypothetical protein
ALLENOCK_01913	CDS	3354	recB	3.1.11.5		RecBCD enzyme subunit RecB
ALLENOCK_01914	CDS	729				hypothetical protein
ALLENOCK_01915	CDS	99				hypothetical protein
ALLENOCK_01916	CDS	351				hypothetical protein
ALLENOCK_01917	CDS	399				hypothetical protein
ALLENOCK_01918	CDS	1206	sasA_3	2.7.-.-		Adaptive-response sensory-kinase SasA
ALLENOCK_01919	CDS	483	sulD		COG0801	Bifunctional folate synthesis protein
ALLENOCK_01920	CDS	3057	infB			Translation initiation factor IF-2
ALLENOCK_01921	CDS	1257	nusA		COG0195	Transcription termination/antitermination protein NusA
ALLENOCK_01922	CDS	474	rimP			Ribosome maturation factor RimP
ALLENOCK_01923	CDS	1098				hypothetical protein
ALLENOCK_01924	CDS	432				hypothetical protein
ALLENOCK_01925	CDS	1455	pyk	2.7.1.40		Pyruvate kinase
ALLENOCK_01926	CDS	645	trmR	2.1.1.-		tRNA 5-hydroxyuridine methyltransferase
ALLENOCK_01927	CDS	396	rbfA		COG0858	30S ribosome-binding factor
ALLENOCK_01928	CDS	1239	lolE		COG4591	Lipoprotein-releasing system transmembrane protein LolE
ALLENOCK_01929	CDS	579	algU_4		COG1595	RNA polymerase sigma-H factor
ALLENOCK_01930	CDS	978				hypothetical protein
ALLENOCK_01931	CDS	3381				TonB-dependent receptor P3
ALLENOCK_01932	CDS	1353				SusD-like protein P2
ALLENOCK_01933	CDS	2577				hypothetical protein
ALLENOCK_01934	CDS	183				hypothetical protein
ALLENOCK_01935	CDS	249				hypothetical protein
ALLENOCK_01936	CDS	150				hypothetical protein
ALLENOCK_01937	CDS	231				hypothetical protein
ALLENOCK_01938	CDS	276			COG0776	DNA-binding protein HU
ALLENOCK_01939	CDS	519				hypothetical protein
ALLENOCK_01940	CDS	408				hypothetical protein
ALLENOCK_01941	CDS	351	hxlR_1		COG1733	HTH-type transcriptional activator HxlR
ALLENOCK_01942	CDS	270				hypothetical protein
ALLENOCK_01943	CDS	291				hypothetical protein
ALLENOCK_01944	CDS	564				hypothetical protein
ALLENOCK_01945	CDS	210				hypothetical protein
ALLENOCK_01946	CDS	636				hypothetical protein
ALLENOCK_01947	CDS	744				hypothetical protein
ALLENOCK_01948	CDS	600				hypothetical protein
ALLENOCK_01949	CDS	522				hypothetical protein
ALLENOCK_01950	CDS	549				hypothetical protein
ALLENOCK_01951	CDS	783	rhaS_3			HTH-type transcriptional activator RhaS
ALLENOCK_01952	CDS	615	cat3_2	2.3.1.28		Chloramphenicol acetyltransferase 3
ALLENOCK_01953	CDS	369	hxlR_2		COG1733	HTH-type transcriptional activator HxlR
ALLENOCK_01954	CDS	609	yajL_2	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
ALLENOCK_01955	CDS	684	mprA		COG0745	Response regulator MprA
ALLENOCK_01956	CDS	1335	sasA_4	2.7.-.-		Adaptive-response sensory-kinase SasA
ALLENOCK_01957	CDS	2040				hypothetical protein
ALLENOCK_01958	CDS	1290				hypothetical protein
ALLENOCK_01959	CDS	441				hypothetical protein
ALLENOCK_01960	CDS	213				hypothetical protein
ALLENOCK_01961	CDS	138				hypothetical protein
ALLENOCK_01962	CDS	1212				hypothetical protein
ALLENOCK_01963	CDS	888	folD			Bifunctional protein FolD protein
ALLENOCK_01964	CDS	1182				hypothetical protein
ALLENOCK_01965	CDS	993	lplJ	6.3.1.20	COG0095	Lipoate-protein ligase LplJ
ALLENOCK_01966	CDS	1113	gcvT	2.1.2.10		Aminomethyltransferase
ALLENOCK_01967	CDS	366	gcvH			Glycine cleavage system H protein
ALLENOCK_01968	CDS	1332	gcvPA	1.4.4.2		putative glycine dehydrogenase (decarboxylating) subunit 1
ALLENOCK_01969	CDS	1461	gcvPB	1.4.4.2		putative glycine dehydrogenase (decarboxylating) subunit 2
ALLENOCK_01970	CDS	1329		1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
ALLENOCK_01971	CDS	2259	recD2_2	3.6.4.12		ATP-dependent RecD-like DNA helicase
ALLENOCK_01972	CDS	1818	glaB	3.2.1.-		Alpha-1,3-galactosidase B
ALLENOCK_01973	CDS	1515	dinB_1	2.7.7.7		DNA polymerase IV
ALLENOCK_01974	CDS	240				hypothetical protein
ALLENOCK_01975	CDS	819	menB	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
ALLENOCK_01976	CDS	1053	menC	4.2.1.113		o-succinylbenzoate synthase
ALLENOCK_01977	CDS	984	menE	6.2.1.26	COG0318	2-succinylbenzoate--CoA ligase
ALLENOCK_01978	CDS	702	glxR		COG0664	CRP-like cAMP-activated global transcriptional regulator
ALLENOCK_01979	CDS	762	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
ALLENOCK_01980	CDS	957				hypothetical protein
ALLENOCK_01981	CDS	2064				hypothetical protein
ALLENOCK_01982	CDS	951				hypothetical protein
ALLENOCK_01983	CDS	825				hypothetical protein
ALLENOCK_01984	CDS	321				hypothetical protein
ALLENOCK_01985	CDS	603				hypothetical protein
ALLENOCK_01986	CDS	1035	asnA	6.3.1.1	COG2502	Aspartate--ammonia ligase
ALLENOCK_01987	CDS	1500				hypothetical protein
ALLENOCK_01988	tRNA	89				tRNA-Ser(gct)
ALLENOCK_01989	CDS	1251				hypothetical protein
ALLENOCK_01990	CDS	339				hypothetical protein
ALLENOCK_01991	CDS	1275	norR_2			Anaerobic nitric oxide reductase transcription regulator NorR
ALLENOCK_01992	CDS	1359	cusC		COG1538	Cation efflux system protein CusC
ALLENOCK_01993	CDS	3183	bepE_2			Efflux pump membrane transporter BepE
ALLENOCK_01994	CDS	1134	mdtE_2			Multidrug resistance protein MdtE
ALLENOCK_01995	CDS	747				hypothetical protein
